time_ms,thr,roll_sp,roll_gyro,roll_P,roll_I,roll_D,pitch_sp,pitch_gyro,pitch_P,pitch_I,pitch_D,yaw_sp,yaw_gyro,yaw_P,yaw_I,yaw_D
1198,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1218,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1238,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1258,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.03,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1278,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1298,1000,0.00,0.05,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1318,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1338,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1358,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1378,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1398,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1418,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1438,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.04,0.000,0.000,0.000
1458,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.04,0.000,0.000,0.000
1478,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.04,0.000,0.000,0.000
1498,1000,0.00,0.03,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.04,0.000,0.000,0.000
1518,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1538,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
1558,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
1578,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1598,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1618,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,0.01,0.000,0.000,0.000
1638,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1658,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1678,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1698,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.03,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1718,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.04,0.000,0.000,0.000
1752,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1758,1000,0.00,0.00,0.000,0.000,0.000,0.00,-0.01,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1778,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1798,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1818,1000,0.00,-0.01,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1838,1000,0.00,0.02,0.000,0.000,0.000,0.00,0.02,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1858,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1878,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1898,1000,0.00,0.00,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,-0.02,0.000,0.000,0.000
1918,1000,0.00,-0.01,0.000,0.000,0.000,0.00,-0.03,0.000,0.000,0.000,0.00,-0.00,0.000,0.000,0.000
1938,1000,0.00,-0.36,0.000,0.000,0.000,0.00,-0.24,0.000,0.000,0.000,0.00,0.18,0.000,0.000,0.000
1958,1000,0.00,-0.64,0.000,0.000,0.000,0.00,-0.71,0.000,0.000,0.000,0.00,0.74,0.000,0.000,0.000
1978,1000,0.00,0.17,0.000,0.000,0.000,0.00,-0.71,0.000,0.000,0.000,0.00,0.18,0.000,0.000,0.000
1998,1000,0.00,-0.03,0.000,0.000,0.000,0.00,-0.24,0.000,0.000,0.000,0.00,-0.69,0.000,0.000,0.000
2018,1000,0.00,-0.52,0.000,0.000,0.000,0.00,0.00,0.000,0.000,0.000,0.00,0.42,0.000,0.000,0.000
2038,1000,0.00,0.28,0.000,0.000,0.000,0.00,0.19,0.000,0.000,0.000,0.00,0.61,0.000,0.000,0.000
2058,1000,0.00,0.95,0.000,0.000,0.000,0.00,0.65,0.000,0.000,0.000,0.00,-1.09,0.000,0.000,0.000
2078,1000,0.00,1.16,0.000,0.000,0.000,0.00,1.42,0.000,0.000,0.000,0.00,-1.41,0.000,0.000,0.000
2098,1000,0.00,2.05,0.000,0.000,0.000,0.00,2.25,0.000,0.000,0.000,0.00,-1.04,0.000,0.000,0.000
2118,1000,0.00,1.79,0.000,0.000,0.000,0.00,2.60,0.000,0.000,0.000,0.00,-1.39,0.000,0.000,0.000
2138,1000,0.00,0.60,0.000,0.000,0.000,0.00,2.06,0.000,0.000,0.000,0.00,-1.01,0.000,0.000,0.000
2158,1000,0.00,1.01,0.000,0.000,0.000,0.00,1.09,0.000,0.000,0.000,0.00,-0.23,0.000,0.000,0.000
2178,1000,0.00,2.11,0.000,0.000,0.000,0.00,0.92,0.000,0.000,0.000,0.00,-0.84,0.000,0.000,0.000
2198,1000,0.00,2.35,0.000,0.000,0.000,0.00,2.19,0.000,0.000,0.000,0.00,-2.42,0.000,0.000,0.000
2218,1000,0.00,3.53,0.000,0.000,0.000,0.00,4.19,0.000,0.000,0.000,0.00,-2.80,0.000,0.000,0.000
2238,1000,0.00,4.38,0.000,0.000,0.000,0.00,5.68,0.000,0.000,0.000,0.00,-2.80,0.000,0.000,0.000
2258,1000,0.00,3.96,0.000,0.000,0.000,0.00,6.43,0.000,0.000,0.000,0.00,-2.89,0.000,0.000,0.000
2278,1000,0.00,4.48,0.000,0.000,0.000,0.00,6.78,0.000,0.000,0.000,0.00,-3.49,0.000,0.000,0.000
2298,1000,0.00,5.16,0.000,0.000,0.000,0.00,6.26,0.000,0.000,0.000,0.00,-5.06,0.000,0.000,0.000
2318,1000,0.00,3.94,0.000,0.000,0.000,0.00,4.52,0.000,0.000,0.000,0.00,-7.18,0.000,0.000,0.000
2338,1000,0.00,2.81,0.000,0.000,0.000,0.00,2.36,0.000,0.000,0.000,0.00,-9.81,0.000,0.000,0.000
2358,1000,0.00,2.28,0.000,0.000,0.000,0.00,0.54,0.000,0.000,0.000,0.00,-12.17,0.000,0.000,0.000
2378,1000,0.00,1.73,0.000,0.000,0.000,0.00,-0.36,0.000,0.000,0.000,0.00,-12.83,0.000,0.000,0.000
2398,1000,0.00,2.48,0.000,0.000,0.000,0.00,-0.38,0.000,0.000,0.000,0.00,-12.59,0.000,0.000,0.000
2418,1000,0.00,3.68,0.000,0.000,0.000,0.00,0.46,0.000,0.000,0.000,0.00,-13.24,0.000,0.000,0.000
2438,1000,0.00,4.40,0.000,0.000,0.000,0.00,1.09,0.000,0.000,0.000,0.00,-14.08,0.000,0.000,0.000
2458,1000,0.00,5.12,0.000,0.000,0.000,0.00,1.47,0.000,0.000,0.000,0.00,-14.40,0.000,0.000,0.000
2478,1000,0.00,5.82,0.000,0.000,0.000,0.00,1.82,0.000,0.000,0.000,0.00,-13.84,0.000,0.000,0.000
2498,1000,0.00,5.74,0.000,0.000,0.000,0.00,2.97,0.000,0.000,0.000,0.00,-12.89,0.000,0.000,0.000
2518,1000,0.00,4.78,0.000,0.000,0.000,0.00,5.53,0.000,0.000,0.000,0.00,-11.07,0.000,0.000,0.000
2538,1000,0.00,3.38,0.000,0.000,0.000,0.00,9.18,0.000,0.000,0.000,0.00,-8.08,0.000,0.000,0.000
2558,1000,0.00,1.18,0.000,0.000,0.000,0.00,12.45,0.000,0.000,0.000,0.00,-5.35,0.000,0.000,0.000
2578,1000,0.00,-2.67,0.000,0.000,0.000,0.00,14.51,0.000,0.000,0.000,0.00,-3.44,0.000,0.000,0.000
2612,1000,0.00,-10.29,0.000,0.000,0.000,0.00,14.34,0.000,0.000,0.000,0.00,-1.18,0.000,0.000,0.000
2618,1000,0.00,-11.45,0.000,0.000,0.000,0.00,13.91,0.000,0.000,0.000,0.00,-0.91,0.000,0.000,0.000
2638,1000,0.00,-15.77,0.000,0.000,0.000,0.00,11.06,0.000,0.000,0.000,0.00,-0.54,0.000,0.000,0.000
2658,1000,0.00,-20.88,0.000,0.000,0.000,0.00,6.65,0.000,0.000,0.000,0.00,-0.74,0.000,0.000,0.000
2678,1000,0.00,-25.88,0.000,0.000,0.000,0.00,1.36,0.000,0.000,0.000,0.00,-0.98,0.000,0.000,0.000
2698,1000,0.00,-30.32,0.000,0.000,0.000,0.00,-4.10,0.000,0.000,0.000,0.00,-1.04,0.000,0.000,0.000
2718,1000,0.00,-35.10,0.000,0.000,0.000,0.00,-8.97,0.000,0.000,0.000,0.00,-0.92,0.000,0.000,0.000
2738,1000,0.00,-39.78,0.000,0.000,0.000,0.00,-13.20,0.000,0.000,0.000,0.00,-0.65,0.000,0.000,0.000
2758,1000,0.00,-42.65,0.000,0.000,0.000,0.00,-16.41,0.000,0.000,0.000,0.00,-0.28,0.000,0.000,0.000
2778,1000,0.00,-43.65,0.000,0.000,0.000,0.00,-18.38,0.000,0.000,0.000,0.00,0.35,0.000,0.000,0.000
2798,1000,0.00,-44.10,0.000,0.000,0.000,0.00,-18.88,0.000,0.000,0.000,0.00,1.58,0.000,0.000,0.000
2818,1000,0.00,-43.33,0.000,0.000,0.000,0.00,-18.59,0.000,0.000,0.000,0.00,3.06,0.000,0.000,0.000
2838,1000,0.00,-40.97,0.000,0.000,0.000,0.00,-17.80,0.000,0.000,0.000,0.00,4.61,0.000,0.000,0.000
2858,1000,0.00,-38.27,0.000,0.000,0.000,0.00,-16.99,0.000,0.000,0.000,0.00,6.07,0.000,0.000,0.000
2878,1000,0.00,-35.59,0.000,0.000,0.000,0.00,-16.16,0.000,0.000,0.000,0.00,7.37,0.000,0.000,0.000
2898,1000,0.00,-32.35,0.000,0.000,0.000,0.00,-15.06,0.000,0.000,0.000,0.00,9.06,0.000,0.000,0.000
2918,1000,0.00,-27.39,0.000,0.000,0.000,0.00,-13.78,0.000,0.000,0.000,0.00,11.43,0.000,0.000,0.000
